TimeStamp,turbine_power1,turbine_power10,ws
2020-11-26 20:00:00,476.65,285.44,4.92
2020-11-26 20:10:00,428.2,245.38,4.88
2020-11-26 20:20:00,393.01,363.45,5.11
2020-11-26 20:30:00,482.16,278.35,4.91
2020-11-26 20:40:00,416.65,330.62,4.75
2020-11-26 20:50:00,353.15,191.73,4.54
2020-11-26 21:00:00,378.95,224.94,4.6
2020-11-26 21:10:00,511.85,226.54,4.67
2020-11-26 21:20:00,601.4,335.52,5.0
2020-11-26 21:30:00,662.77,402.43,5.15
2020-11-26 21:40:00,740.83,460.05,5.29
2020-11-26 21:50:00,670.08,470.56,5.17
2020-11-26 22:00:00,557.73,468.94,4.91
2020-11-26 22:10:00,568.17,407.64,4.83
2020-11-26 22:20:00,515.89,371.53,4.75
2020-11-26 22:30:00,470.94,373.47,4.82
2020-11-26 22:40:00,353.98,385.5,4.77
2020-11-26 22:50:00,281.01,237.64,4.5
2020-11-26 23:00:00,163.83,174.5,4.19
2020-11-26 23:10:00,227.82,267.61,4.29
2020-11-26 23:20:00,250.23,235.7,4.28
2020-11-26 23:30:00,247.22,236.06,4.19
2020-11-26 23:40:00,255.48,280.83,4.5
2020-11-26 23:50:00,207.64,176.37,4.36
2020-11-27 00:00:00,209.75,276.76,4.48
2020-11-27 00:10:00,179.66,259.27,4.36
2020-11-27 00:20:00,233.52,172.71,4.41
2020-11-27 00:30:00,269.44,167.29,4.51
2020-11-27 00:40:00,243.5,160.57,4.46
2020-11-27 00:50:00,192.25,156.75,4.46
2020-11-27 01:00:00,174.24,162.12,4.39
2020-11-27 01:10:00,183.31,138.66,4.19
2020-11-27 01:20:00,263.26,108.5,4.18
2020-11-27 01:30:00,231.7,85.6,4.06
2020-11-27 01:40:00,204.9,64.07,3.92
2020-11-27 01:50:00,51.64,41.88,3.74
2020-11-27 02:00:00,50.1,19.73,3.98
2020-11-27 02:10:00,108.26,135.05,3.98
2020-11-27 02:20:00,207.15,167.69,3.82
2020-11-27 02:30:00,168.47,17.24,3.78
2020-11-27 02:40:00,54.57,94.64,3.78
2020-11-27 02:50:00,14.86,77.35,3.84
2020-11-27 03:00:00,38.49,55.97,4.04
2020-11-27 03:10:00,60.48,50.8,3.93
2020-11-27 03:20:00,20.95,65.79,3.73
2020-11-27 03:30:00,57.32,55.03,3.64
2020-11-27 03:40:00,107.42,6.88,3.82
2020-11-27 03:50:00,60.06,41.74,3.65
2020-11-27 04:00:00,77.23,112.11,3.9
2020-11-27 04:10:00,105.6,134.13,3.84
2020-11-27 04:20:00,116.6,95.56,3.83
2020-11-27 04:30:00,143.06,102.69,3.97
2020-11-27 04:40:00,173.69,114.35,3.93
2020-11-27 04:50:00,149.61,135.94,3.97
2020-11-27 05:00:00,192.77,198.5,4.18
2020-11-27 05:10:00,268.38,275.47,4.33
2020-11-27 05:20:00,262.59,296.26,4.44
2020-11-27 05:30:00,278.25,335.49,4.51
2020-11-27 05:40:00,229.62,334.59,4.4
2020-11-27 05:50:00,195.38,282.52,4.3
2020-11-27 06:00:00,197.17,272.51,4.24
2020-11-27 06:10:00,252.72,358.04,4.55
2020-11-27 06:20:00,365.05,519.3,4.85
